央视频道,#genre#
CCTV兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/index.m3u8
CCTV第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
CCTV电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8
CCTV风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
CCTV风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226953/index.m3u8
CCTV风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226984/index.m3u8
CCTV高尔夫网球,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226978/index.m3u8
CCTV怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
CCTV世界地理,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8
CCTV央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8
CCTV央视文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8
中央新影发现之旅,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8
中央新影老故事,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8

卫视频道,#genre#
江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
深圳卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
山西卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
海南卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
黑龙江卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
农林卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
大湾区卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225773/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225790/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225789/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225757/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225787/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225746/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226246/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225772/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225771/index.m3u8
山东教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225788/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
大湾区卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
甘肃卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
广西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
贵州卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
河北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
吉林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
江西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
内蒙古卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
宁夏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
青海卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225794/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
山西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226388/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226389/index.m3u8
陕西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226458/index.m3u8
四川卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
西藏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
新疆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
云南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
CETV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
CGTN,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225745/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
九宫格1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226337/index.m3u8
九宫格2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226338/index.m3u8
哈哈炫动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
嘉佳卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
金鹰卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
北京卡酷,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
KAKU少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
优漫卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
纪实科技,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
欢笑剧场_2160,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
都市剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8
金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
茶频道,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8
快乐垂钓,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226805/index.m3u8
优乐购,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226353/index.m3u8
财富天下,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226350/index.m3u8
第一财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226966/index.m3u8
精彩综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8
乐游,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226580/index.m3u8
怡伴健康,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226957/index.m3u8
游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8
哒啵电竞,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226951/index.m3u8
英雄联盟,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226954/index.m3u8
BesTV超级体育足球,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225846/index.m3u8
BesTV第1财经,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225839/index.m3u8
BesTV名医话养生,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225836/index.m3u8
BesTV名医话养生,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225837/index.m3u8
BesTV名医话养生,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225845/index.m3u8
BesTV英雄联盟1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225848/index.m3u8
BesTV英雄联盟2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225849/index.m3u8
弈坛春秋,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226245/index.m3u8
台球,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226348/index.m3u8
京视剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226242/index.m3u8
京视剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226243/index.m3u8
家庭理财,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226244/index.m3u8
家庭理财,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226247/index.m3u8
陕西都市青春,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226358/index.m3u8
陕西公共,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226361/index.m3u8
陕西略阳1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226322/index.m3u8
陕西生活,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226359/index.m3u8
陕西体育休闲,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226363/index.m3u8
陕西西部影视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226364/index.m3u8
陕西新闻资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226357/index.m3u8
陕西影视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226360/index.m3u8
西安都市,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226367/index.m3u8
西安教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226371/index.m3u8
西安商务资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226368/index.m3u8
西安丝路,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226370/index.m3u8
西安新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226366/index.m3u8
西安影视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226369/index.m3u8
安康1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226385/index.m3u8
宝鸡1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226383/index.m3u8
宝鸡2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226384/index.m3u8
城固,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226920/index.m3u8
佛坪,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226454/index.m3u8
扶风,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227005/index.m3u8
府谷1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226990/index.m3u8
汉中1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226331/index.m3u8
汉中2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225990/index.m3u8
汉中3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225991/index.m3u8
勉县,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226952/index.m3u8
岐山,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226982/index.m3u8
千阳,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226945/index.m3u8
商洛1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226378/index.m3u8
神木1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226993/index.m3u8
石泉,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226965/index.m3u8
吴起,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226967/index.m3u8
西乡,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226556/index.m3u8
洋县,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226938/index.m3u8
LBR,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226000/index.m3u8
耀州,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226977/index.m3u8
白河,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226973/index.m3u8
丹凤,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226962/index.m3u8
鄠邑1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227008/index.m3u8
泾阳1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226979/index.m3u8
蓝田1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227011/index.m3u8
洛川,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226996/index.m3u8
洛南,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226999/index.m3u8
米脂,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226964/index.m3u8
南郑1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226955/index.m3u8
宁强1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226390/index.m3u8
蒲城,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226976/index.m3u8
山阳1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226970/index.m3u8
铜川1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226379/index.m3u8
铜川2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226380/index.m3u8
渭南,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226376/index.m3u8
咸阳,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226372/index.m3u8
兴平,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226971/index.m3u8
延安,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226374/index.m3u8
延安公共,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226375/index.m3u8
宜君,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226974/index.m3u8
榆林,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226377/index.m3u8
长安1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226985/index.m3u8
镇巴,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226457/index.m3u8
置业,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226241/index.m3u8
周至1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226988/index.m3u8
紫阳,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227002/index.m3u8
风尚购物,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226326/index.m3u8
央广购物,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226032/index.m3u8
好享购物,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226018/index.m3u8
聚鲨环球精选1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226459/index.m3u8
聚鲨环球精选2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226461/index.m3u8
乐家购物,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226362/index.m3u8

港澳台,#genre#
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS亚洲台,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
TW台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
台視新聞,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
時尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
天映频道,http://210.210.155.37/dr9445/h/h14/index.m3u8
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
WB TV,http://208.115.225.174:14132
Sbt,http://208.115.225.174:14173
Sbt,http://208.115.225.174:14176
Animal Planet,http://208.115.225.174:14192
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
美國中文電視,https://jpts.sinovision.net/livestream.m3u8
華語電視2,http://38.64.72.148:80/hls/modn/list/4002/chunklist1.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist1.m3u8
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w614428743.m3u8
香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8
CTN,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
CGNTV,http://live.cgtn.com/1000/prog_index.m3u8
CGNTV,http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV,http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGNTV,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN-英语新闻,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-俄罗斯语国际,http://liveru.cgtn.com/1000r/prog_index.m3u8
Channel News Asia『蓝光』,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
THAIPBS-3,http://thaipbs-live.cdn.byteark.com/live/playlist_480p/index.m3u8
VB,http://live.tv2bornholm.dk/stream/live/chunklist.m3u8
半·新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
俄·IGITV蓝光,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
法·时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
美·NASA Public Channel,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
美·NASA Public Channel,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
美·红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
泰·公共三台,http://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
越·HBTV,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
NewsmaxTV,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
moviesphere,https://moviesphere-samsung-samsungus.amagi.tv/playlist.m3u8
CanadaOne,http://cdn8.live247stream.com/canadaone/tv/playlist.m3u8
